Current_Year,Current_Month,1st_year,1st_month,China_EB1,2nd_year,2nd_month,China_EB2,3rd_year,3rd_month,China_EB3
1994,12,C ,C ,0,C ,C ,0,1993,7,17
1995,1,C ,C ,0,C ,C ,0,1993,7,18
1995,2,C ,C ,0,C ,C ,0,1993,7,19
1995,3,C ,C ,0,C ,C ,0,1993,7,20
1995,4,C ,C ,0,C ,C ,0,1993,7,21
1995,5,C ,C ,0,C ,C ,0,1993,7,22
1995,6,C ,C ,0,C ,C ,0,1993,7,23
1995,7,C ,C ,0,C ,C ,0,1993,7,24
1995,8,C ,C ,0,C ,C ,0,1993,11,21
1995,9,C ,C ,0,C ,C ,0,C ,C ,0
1995,10,C ,C ,0,C ,C ,0,C ,C ,0
1995,11,C ,C ,0,C ,C ,0,C ,C ,0
1995,12,C ,C ,0,C ,C ,0,C ,C ,0
1996,1,C ,C ,0,C ,C ,0,C ,C ,0
1996,2,C ,C ,0,C ,C ,0,C ,C ,0
1996,3,C ,C ,0,C ,C ,0,C ,C ,0
1996,4,C ,C ,0,C ,C ,0,C ,C ,0
1996,5,C ,C ,0,C ,C ,0,C ,C ,0
1996,6,C ,C ,0,C ,C ,0,C ,C ,0
1996,7,C ,C ,0,C ,C ,0,C ,C ,0
1996,8,C ,C ,0,C ,C ,0,C ,C ,0
1996,9,C ,C ,0,C ,C ,0,C ,C ,0
1996,10,C ,C ,0,C ,C ,0,C ,C ,0
1996,11,C ,C ,0,C ,C ,0,C ,C ,0
1996,12,C ,C ,0,C ,C ,0,C ,C ,0
1997,1,C ,C ,0,C ,C ,0,C ,C ,0
1997,2,C ,C ,0,C ,C ,0,C ,C ,0
1997,3,C ,C ,0,C ,C ,0,C ,C ,0
1997,4,C ,C ,0,C ,C ,0,C ,C ,0
1997,5,C ,C ,0,C ,C ,0,C ,C ,0
1997,6,C ,C ,0,C ,C ,0,C ,C ,0
1997,7,C ,C ,0,C ,C ,0,C ,C ,0
1997,8,C ,C ,0,C ,C ,0,C ,C ,0
1997,9,C ,C ,0,C ,C ,0,C ,C ,0
1997,10,C ,C ,0,C ,C ,0,C ,C ,0
1997,11,C ,C ,0,C ,C ,0,C ,C ,0
1997,12,1997,1,11,1995,10,26,1993,11,49
1998,1,1997,4,9,1996,3,22,1993,12,49
1998,2,1997,5,9,1996,4,22,1994,1,49
1998,3,1997,5,10,1996,4,23,1994,2,49
1998,4,1997,6,10,1996,4,24,1994,2,50
1998,5,1997,6,11,1996,5,24,1994,2,51
1998,6,1997,6,12,1996,5,25,1994,2,52
1998,7,1997,6,13,1996,5,26,1994,2,53
1998,8,1997,7,13,1996,3,29,1994,4,52
1998,9,1997,11,10,1996,5,28,1994,9,48
1998,10,1997,11,11,1996,5,29,1994,9,49
1998,11,1997,11,12,1996,5,30,1994,9,50
1998,12,1997,11,13,1996,6,30,1994,9,51
1999,1,1997,11,14,1996,6,31,1994,10,51
1999,2,1997,12,14,1996,7,31,1994,11,51
1999,3,1998,1,14,1996,9,30,1995,1,50
1999,4,1998,3,13,1996,11,29,1995,2,50
1999,5,1998,4,13,1997,2,27,1995,4,49
1999,6,1998,7,11,1997,5,25,1995,5,49
1999,7,C ,C ,0,1997,9,22,1995,7,48
1999,8,C ,C ,0,C ,C ,0,C ,C ,0
1999,9,C ,C ,0,C ,C ,0,C ,C ,0
1999,10,C ,C ,0,C ,C ,0,C ,C ,0
1999,11,C ,C ,0,C ,C ,0,C ,C ,0
1999,12,C ,C ,0,C ,C ,0,C ,C ,0
2000,1,C ,C ,0,C ,C ,0,C ,C ,0
2000,2,C ,C ,0,C ,C ,0,C ,C ,0
2000,3,C ,C ,0,C ,C ,0,C ,C ,0
2000,4,C ,C ,0,1997,7,33,1997,1,39
2000,5,C ,C ,0,1997,7,34,1997,1,40
2000,6,C ,C ,0,1997,9,33,1997,1,41
2000,7,C ,C ,0,1998,1,30,1997,2,41
2000,8,C ,C ,0,1998,4,28,1997,6,38
2000,9,C ,C ,0,1999,3,18,1998,3,30
2000,10,C ,C ,0,1999,3,19,1998,3,31
2000,11,C ,C ,0,1999,3,20,1998,3,32
2000,12,C ,C ,0,1999,6,18,1998,4,32
2001,1,C ,C ,0,1999,8,17,1998,6,31
2001,2,C ,C ,0,1999,11,15,1998,8,30
2001,3,C ,C ,0,2000,3,12,1999,1,26
2001,4,C ,C ,0,2000,9,7,1999,6,22
2001,5,C ,C ,0,C ,C ,0,2000,1,16
2001,6,C ,C ,0,C ,C ,0,2000,8,10
2001,7,C ,C ,0,C ,C ,0,C ,C ,0
2001,8,C ,C ,0,C ,C ,0,C ,C ,0
2001,9,C ,C ,0,C ,C ,0,C ,C ,0
2001,10,C ,C ,0,C ,C ,0,C ,C ,0
2001,11,C ,C ,0,C ,C ,0,C ,C ,0
2001,12,C ,C ,0,C ,C ,0,C ,C ,0
2002,1,C ,C ,0,C ,C ,0,C ,C ,0
2002,2,C ,C ,0,C ,C ,0,C ,C ,0
2002,3,C ,C ,0,C ,C ,0,C ,C ,0
2002,4,C ,C ,0,C ,C ,0,C ,C ,0
2002,5,C ,C ,0,C ,C ,0,C ,C ,0
2002,6,C ,C ,0,C ,C ,0,C ,C ,0
2002,7,C ,C ,0,C ,C ,0,C ,C ,0
2002,8,C ,C ,0,C ,C ,0,C ,C ,0
