,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Text,Date,Favorites,Retweets,Tweet ID,sentiment,pos_pct,neg_pct
0,0,0,0,Donald Trump Mocks Hillary Clinton On Teleprompter Use FNN https://youtu.be/Ia_y4gwRnvg  via @YouTube @realdonaldtrump @POTUS @impeachdonaldtrump,2017-03-01 13:08:39,0,0,837046953343086596,"{'neg': 0.176, 'neu': 0.824, 'pos': 0.0, 'compound': -0.4588}",0.0334,0.0836
1,1,1,1,"Really after a fully read speech written by someone who knew trump isn't doing well so let's try something new, he's still Donald Trump Nazi https://twitter.com/shewhovotes/status/837026571521138689 …",2017-03-01 11:54:58,2,0,837028408370597899,"{'neg': 0.07, 'neu': 0.93, 'pos': 0.0, 'compound': -0.2057}",0.0334,0.0836
2,2,2,2,"Donald Trump speech to Congress leaves Democrats befuddled, in ruins, with question marks - http://go.shr.lc/2mbZOB0  - @washtimes",2017-03-01 10:43:54,0,0,837010525804498947,"{'neg': 0.172, 'neu': 0.828, 'pos': 0.0, 'compound': -0.4404}",0.0334,0.0836
3,3,3,3,@ChuksEne The beauty of democracy is to obey the rule of law. If Donald Trump could obey Federal Cour... #Pwiccerpic.twitter.com/mAoSi4Ce8g,2017-03-01 07:52:35,0,0,836967410901057537,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.5859}",0.0334,0.0836
4,4,4,4,Donald Trump has given up his tax returns for Lent.,2017-03-01 07:35:31,0,0,836963116294492161,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0334,0.0836
