,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Text,Date,Favorites,Retweets,Tweet ID,sentiment,pos_pct,neg_pct
0,0,0,0,Donald Trump's Actual Policies Contradict His Joint Session Speech. The Con-Man President is all smoke & mirrors. http://www.huffingtonpost.com/entry/donald-trump-policies-joint-session_us_58b6e282e4b0780bac2f010b?w8f32yf840e1giudi&ncid=inblnkushpmg00000009 …,2017-03-01 14:23:02,4,2,837065668965068800,"{'neg': 0.126, 'neu': 0.874, 'pos': 0.0, 'compound': -0.3182}",0.0683333333333,0.047
1,1,1,1,"Donald Trump, Master of Low Expectations - He has been so awful that a mediocre speech by him seen as great! https://www.nytimes.com/2017/03/01/opinion/donald-trump-master-of-low-expectations.html?_r=0 …",2017-03-01 14:16:18,1,0,837063974843740161,"{'neg': 0.229, 'neu': 0.621, 'pos': 0.15, 'compound': -0.2865}",0.0683333333333,0.047
2,2,2,2,Read it all. Then read it again --> Donald Trump's Congress speech (full text) @CNNPoliticshttp://cnn.it/2lmGc8F ,2017-03-01 12:52:50,0,0,837042969567977473,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0683333333333,0.047
3,3,3,3,"Donald Trump's speech down in audience, down in approval, destroyed by Barack Obama: http://feeds.dailykos.com/~r/dailykos/index/~3/z_zhDN_DGy8/-Donald-Trump-s-speech-down-in-audience-down-in-approval-destroyed-by-Barack-Obama …",2017-03-01 12:49:37,8,9,837042159903731713,"{'neg': 0.175, 'neu': 0.656, 'pos': 0.169, 'compound': -0.0258}",0.0683333333333,0.047
4,4,4,4,The two most debased moments of Donald Trump’s speech to Congress: http://www.slate.com/articles/news_and_politics/politics/2017/03/the_two_most_debased_moments_of_donald_trump_s_speech_to_congress.html?wpsrc=sh_all_dt_tw_top … via @slate,2017-03-01 12:00:57,0,0,837029915144794112,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0683333333333,0.047
5,5,5,5,#Trump Donald Trump's Anti-White State Of The Union http://dlvr.it/NWGpGr ,2017-03-01 11:29:04,0,0,837021890015195137,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0683333333333,0.047
6,6,6,6,"Paul Ryan sitting next to Donald Trump, shit-eating grin intact. 

(This is a thing that I do now.) https://twitter.com/ByJohnFrank/status/837009927939895296 …",2017-03-01 11:28:11,0,0,837021667805302790,"{'neg': 0.0, 'neu': 0.754, 'pos': 0.246, 'compound': 0.5994}",0.0683333333333,0.047
7,7,7,7,<History lesson...> Donald Trump and Andrew Jackson: More in common than just populism http://theconversation.com/donald-trump-and-andrew-jackson-more-in-common-than-just-populism-73424 … via @ConversationUS,2017-03-01 10:53:04,0,0,837012831912378368,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0683333333333,0.047
8,8,8,8,Fact-checking Donald Trump's first presidential address to Congress https://www.theguardian.com/us-news/2017/mar/01/donald-trump-congress-address-fact-check?CMP=share_btn_tw …,2017-03-01 08:58:15,0,0,836983936181903360,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0683333333333,0.047
9,9,9,9,Fact-checking Donald Trump's address to Congress http://www.politifact.com/truth-o-meter/article/2017/feb/28/fact-checking-donald-trumps-address-congress/ … via @PolitiFact,2017-03-01 08:42:31,0,0,836979975127449600,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0683333333333,0.047
10,10,10,10,Almost every big claim Donald Trump just made was false - The Independent http://nzzl.us/QIQtFlv  via @nuzzel thanks @WorkTurns2War,2017-03-01 08:28:18,2,1,836976399625797632,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.4404}",0.0683333333333,0.047
11,11,11,11,"Rand Paul says if you give people money they did not pay in taxes, it is entitlement = the 1% investor class, Donald Trump @foxnews #maga",2017-03-01 08:05:25,0,0,836970642155110403,"{'neg': 0.0, 'neu': 0.949, 'pos': 0.051, 'compound': 0.0762}",0.0683333333333,0.047
12,12,12,12,Donald Trump is coming for weed http://dlvr.it/NWB4q9  #marijuana,2017-03-01 07:42:02,1,2,836964757521358850,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0683333333333,0.047
13,13,13,13,"With One Terrific Speech, Donald Trump Becomes President Trump http://www.investors.com/politics/editorials/with-one-great-speech-donald-trump-becomes-president-trump/ …",2017-03-01 07:17:50,0,0,836958663688470530,"{'neg': 0.0, 'neu': 0.744, 'pos': 0.256, 'compound': 0.4767}",0.0683333333333,0.047
14,14,14,14,http://SocialClimb.org :  Stephen Colbert is not impressed that Donald Trump finally read off a… https://goo.gl/fb/JQegJS ,2017-03-01 07:00:15,0,0,836954241923178496,"{'neg': 0.175, 'neu': 0.825, 'pos': 0.0, 'compound': -0.3724}",0.0683333333333,0.047
