,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Text,Date,Favorites,Retweets,Tweet ID,sentiment,pos_pct,neg_pct
0,0,0,0,#FirstWordsToAliens Please Take Donald Trump back with you!!,2017-03-04 14:51:52,5,0,838160088644923392,"{'neg': 0.0, 'neu': 0.708, 'pos': 0.292, 'compound': 0.4374}",0.0878364865405,0.113475460982
1,1,1,1,Hillary Clinton slams Donald Trump on #Snapchat #Snapchat http://dlvr.it/NXgdGY pic.twitter.com/vQvN1F7gSJ,2017-03-04 13:47:17,0,0,838143836605972480,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0878364865405,0.113475460982
2,2,2,2,BREAKING: Donald Trump Makes Move to TAKE NANCY PELOSI DOWN. Do You Support It? http://NewsUnitedStates.co.vu/1iZ pic.twitter.com/7mdqJzkNQW,2017-03-04 12:50:06,2,0,838129448784297986,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4019}",0.0878364865405,0.113475460982
3,3,3,3,Big Survey Shows Firm Majority Support for Donald Trump's Refugee Reform - Breitbart http://ln.is/www.breitbart.com/bi/xXrej …,2017-03-04 12:19:16,1,1,838121687975616513,"{'neg': 0.0, 'neu': 0.816, 'pos': 0.184, 'compound': 0.4019}",0.0878364865405,0.113475460982
4,4,4,4,"As Working Class Americans Struggle To Make Ends Meet, Donald Trump Takes Yet Another Trip To His Florida Resort http://fb.me/1gsrEfajc ",2017-03-04 12:19:06,0,0,838121645420199946,"{'neg': 0.108, 'neu': 0.892, 'pos': 0.0, 'compound': -0.3182}",0.0878364865405,0.113475460982
5,5,5,5,Donald Trump Questions ‘Sick Guy’ Barack Obama for ‘Wire Tapping’ His Campaign - Breitbart http://bit.ly/2lJORD8 ,2017-03-04 11:28:17,2,1,838108858216243204,"{'neg': 0.202, 'neu': 0.798, 'pos': 0.0, 'compound': -0.5106}",0.0878364865405,0.113475460982
6,6,6,6,@PrincessMoonbat @jackiekashian @FullFrontalSamB @realDonaldTrump This is not Donald Trump's real account.,2017-03-04 11:23:24,0,0,838107630186938369,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0878364865405,0.113475460982
7,7,7,7,@jackiekashian @FullFrontalSamB @realDonaldTrump That's not the real Donald Trump dumbass.,2017-03-04 11:21:40,0,0,838107192200998912,"{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.5574}",0.0878364865405,0.113475460982
8,8,8,8,Obama EPA Head Savages Donald Trump’s Environmental Policies http://NewsUnitedStates.co.vu/1hd pic.twitter.com/nm8uKNPZPC,2017-03-04 11:16:18,0,0,838105839818809344,"{'neg': 0.298, 'neu': 0.702, 'pos': 0.0, 'compound': -0.5267}",0.0878364865405,0.113475460982
9,9,9,9,President Donald Trump Accuses Obama of Wire Tapping Him but Offers No Evidence http://fb.me/3la64AXLW ,2017-03-04 10:44:01,0,0,838097716207042560,"{'neg': 0.273, 'neu': 0.727, 'pos': 0.0, 'compound': -0.5423}",0.0878364865405,0.113475460982
10,10,10,10,Do You Think Obama Would Wiretap Donald Trump? http://NewsUnitedStates.co.vu/1hT pic.twitter.com/BkcpHgCVBO,2017-03-04 10:39:15,0,0,838096518368284672,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0878364865405,0.113475460982
11,11,11,11,BREAKING: Donald Trump Releases His Dirt on Obama. It’s BIG and About Time! TRUTH WINS. –  http://www.teaparty.org/breaking-donald-trump-releases-dirt-obama-big-time-truth-wins-222032/ …,2017-03-04 10:39:08,0,0,838096486349037568,"{'neg': 0.104, 'neu': 0.561, 'pos': 0.335, 'compound': 0.7475}",0.0878364865405,0.113475460982
12,12,12,12,SCANDAL OF THE CENTURY! Donald Trump Just Exposed Obama For HORRIBLE Crime! HERE IS THE PROOF!! http://viid.me/qbBj9F pic.twitter.com/m8u6lXUHi9,2017-03-04 10:35:14,1,1,838095508581175297,"{'neg': 0.516, 'neu': 0.484, 'pos': 0.0, 'compound': -0.9304}",0.0878364865405,0.113475460982
13,13,13,13,SCANDAL OF THE CENTURY! Donald Trump Just Exposed Obama For HORRIBLE Crime! HERE IS THE PROOF!! http://NewsUnitedStates.co.vu/1hS pic.twitter.com/fWIYccRpbZ,2017-03-04 10:33:19,0,0,838095022633308160,"{'neg': 0.516, 'neu': 0.484, 'pos': 0.0, 'compound': -0.9304}",0.0878364865405,0.113475460982
14,14,14,14,Do You Think Obama Would Wiretap Donald Trump? http://TheNewsbreaking.co.vu/JN pic.twitter.com/6XFpBKtblD,2017-03-04 10:32:15,0,0,838094753820377088,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0878364865405,0.113475460982
15,15,15,15,Here Are The Many Ways Donald Trump Scares The Crap Out Of Democrats http://NewsUnitedStates.co.vu/1hO pic.twitter.com/i3H1bFeQdJ,2017-03-04 10:27:29,1,0,838093556082339841,"{'neg': 0.294, 'neu': 0.706, 'pos': 0.0, 'compound': -0.6124}",0.0878364865405,0.113475460982
16,16,16,16,"Donald Trump misses Obama and wants him back as much as the American people. Just call him, and tell'em you're still in love in him!",2017-03-04 09:51:58,1,0,838084616514912257,"{'neg': 0.065, 'neu': 0.783, 'pos': 0.153, 'compound': 0.5562}",0.0878364865405,0.113475460982
17,17,17,17,"Donald Trump is a deranged man! He's clearly insane. Like, poof...flanito!!!",2017-03-04 09:39:30,0,0,838081480463159300,"{'neg': 0.168, 'neu': 0.436, 'pos': 0.396, 'compound': 0.5673}",0.0878364865405,0.113475460982
18,18,18,18,"Donald Trump is fighting alone, but he is still winning, for us all! @realDonaldTrump",2017-03-04 09:35:49,0,0,838080555484864512,"{'neg': 0.17, 'neu': 0.575, 'pos': 0.256, 'compound': 0.5635}",0.0878364865405,0.113475460982
19,19,19,19,WATCH: Donald Trump Releases Short Video and Asks EVERYONE to Watch It http://NewsUnitedStates.co.vu/1h6 pic.twitter.com/5fEp8eW7u5,2017-03-04 09:13:31,0,0,838074941639532544,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0878364865405,0.113475460982
20,20,20,20,Donald Trump claims 'sick' Barack Obama had his 'phones tapped in Trump Tower' before US election win http://ln.is/www.thesun.co.uk/new/A4Ded …,2017-03-04 08:43:18,0,0,838067335856599040,"{'neg': 0.0, 'neu': 0.817, 'pos': 0.183, 'compound': 0.5859}",0.0878364865405,0.113475460982
21,21,21,21,"@realDonaldTrump I back Donald Trump %..But I just pray he also helps our homeless Men, Women, & Children as well here in America..",2017-03-04 08:34:42,0,0,838065175467081728,"{'neg': 0.0, 'neu': 0.708, 'pos': 0.292, 'compound': 0.7184}",0.0878364865405,0.113475460982
22,22,22,22,Donald Trump Questions ‘Sick Guy’ Barack Obama for ‘Wire Tapping’ His Campaign http://NewsUnitedStates.co.vu/1gu pic.twitter.com/iT7LwC5h2A,2017-03-04 08:22:56,1,0,838062210689581056,"{'neg': 0.216, 'neu': 0.784, 'pos': 0.0, 'compound': -0.5106}",0.0878364865405,0.113475460982
23,23,23,23,Donald Trump points out Democrat hypocrisy over Russian face time -- http://ln.is/www.gopusa.com/9Pmr6 …,2017-03-04 08:22:32,0,0,838062110840090624,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0878364865405,0.113475460982
24,24,24,24,Donald Trump Suggests 'The Apprentice' Has Died A 'Sad' Death http://NewsUnitedStates.co.vu/1gn pic.twitter.com/YjSdSzxQjo,2017-03-04 08:16:00,1,0,838060467268378625,"{'neg': 0.484, 'neu': 0.516, 'pos': 0.0, 'compound': -0.8176}",0.0878364865405,0.113475460982
25,25,25,25,"""We r witnessing. .silent coup 2unseat&render effectively immaterial Donald Trump as president of the USA.""-Rush
#ObamaSedition
#Obamagate",2017-03-04 08:05:42,4,4,838057875725508608,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4404}",0.0878364865405,0.113475460982
26,26,26,26,Donald Trump accuses Obama of 'wire-tapping' his office before election https://www.theguardian.com/us-news/2017/mar/04/donald-trump-accuses-obama-of-wire-tapping-his-office-before-election?CMP=share_btn_tw … #prepper,2017-03-04 07:35:46,0,0,838050343858524160,"{'neg': 0.179, 'neu': 0.821, 'pos': 0.0, 'compound': -0.34}",0.0878364865405,0.113475460982
27,27,27,27,"BREAKING: Donald Trump DOES IT, Releases Criminal Information on Barack Obama http://NewsUnitedStates.co.vu/1ga pic.twitter.com/TaagRjUYt8",2017-03-04 07:18:19,1,1,838045951193309184,"{'neg': 0.236, 'neu': 0.764, 'pos': 0.0, 'compound': -0.5267}",0.0878364865405,0.113475460982
28,28,28,28,Big Survey Shows Firm Majority Support for Donald Trump’s Refugee Reform http://NewsUnitedStates.co.vu/1gY pic.twitter.com/mLvxJc2vAF,2017-03-04 07:14:15,2,4,838044925442740225,"{'neg': 0.0, 'neu': 0.803, 'pos': 0.197, 'compound': 0.4019}",0.0878364865405,0.113475460982
29,29,29,29,AWE! Donald Trump Was Just Caught Doing Something Super Nice For Kids! He’s An Inspiration! http://viid.me/qbZbXH pic.twitter.com/dzRVXToZ6x,2017-03-04 06:12:59,4,1,838029507894259712,"{'neg': 0.0, 'neu': 0.542, 'pos': 0.458, 'compound': 0.8996}",0.0878364865405,0.113475460982
30,30,30,30,AWE! Donald Trump Was Just Caught Doing Something Super Nice For Kids! He’s An Inspiration! http://NewsUnitedStates.co.vu/1gC pic.twitter.com/I9BIKWt7Hd,2017-03-04 06:12:56,0,0,838029497265856512,"{'neg': 0.0, 'neu': 0.542, 'pos': 0.458, 'compound': 0.8996}",0.0878364865405,0.113475460982
31,31,31,31,#DonaldTrump claims former President #BarackObama tapped his phone lines in #TrumpTower  https://www.instagram.com/p/BRN_nOfgYTW/ ,2017-03-04 05:56:50,0,0,838025446923055105,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0878364865405,0.113475460982
32,32,32,32,"""The warning signs of fascism that Americans should be watching for under president Donald Trump"" #newshttp://qz.com/874872/fascism-under-donald-trump-the-warning-signs-of-fascism-that-americans-should-watch-for-in-2017 …",2017-03-04 05:54:57,0,0,838024969397366786,"{'neg': 0.138, 'neu': 0.862, 'pos': 0.0, 'compound': -0.34}",0.0878364865405,0.113475460982
33,33,33,33,"Is Donald Trump going to blame everything on Obama? Man, grow up, run the country and shut up.",2017-03-04 05:54:56,0,0,838024966977253376,"{'neg': 0.124, 'neu': 0.876, 'pos': 0.0, 'compound': -0.34}",0.0878364865405,0.113475460982
34,34,34,34,.@gop how long are you going to let Donald Trump make a fool of himself and our country https://twitter.com/JohnJHarwood/status/838022760634941440 …,2017-03-04 05:53:04,3,2,838024495403270144,"{'neg': 0.146, 'neu': 0.854, 'pos': 0.0, 'compound': -0.4404}",0.0878364865405,0.113475460982
35,35,35,35,Donald Trump accuses Barack Obama of 'wire tapping' his phones http://dailym.ai/2lK1ttZ  via http://dailym.ai/android ,2017-03-04 04:50:52,11,1,838008843653296128,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.34}",0.0878364865405,0.113475460982
36,36,36,36,Donald Trump accuses Obama of 'wire-tapping' his office before election http://NewsUnitedStates.co.vu/1fn pic.twitter.com/cmY92D9Yot,2017-03-04 04:39:40,1,0,838006026976686081,"{'neg': 0.194, 'neu': 0.806, 'pos': 0.0, 'compound': -0.34}",0.0878364865405,0.113475460982
37,37,37,37,Donald Trump Claims Barack Obama Ordered Wire Tap On Trump Tower Before Election http://NewsUnitedStates.co.vu/1fl pic.twitter.com/L72nTXx3Vf,2017-03-04 04:39:17,9,12,838005928867725312,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0878364865405,0.113475460982
38,38,38,38,Bill Maher Calls For Return Of The Liberal Bad Boys To Take On Donald Trump http://NewsUnitedStates.co.vu/1fS pic.twitter.com/F0v8V1Q6sV,2017-03-04 01:16:32,0,0,837954905763524608,"{'neg': 0.189, 'neu': 0.811, 'pos': 0.0, 'compound': -0.5423}",0.0878364865405,0.113475460982
39,39,39,39,Bill Maher Shreds The Media For Praising 'Defective' Donald Trump's Speech To Congress http://NewsUnitedStates.co.vu/1fA pic.twitter.com/fkWoE9F2rz,2017-03-03 23:51:25,1,1,837933484832239616,"{'neg': 0.0, 'neu': 0.788, 'pos': 0.212, 'compound': 0.5423}",0.0878364865405,0.113475460982
40,40,40,40,The New Yorker’s David Remnick on the dangers of normalizing Donald Trump – video http://NewsUnitedStates.co.vu/1eh pic.twitter.com/IsUJL5jjLI,2017-03-03 19:51:09,0,0,837873018676248577,"{'neg': 0.211, 'neu': 0.789, 'pos': 0.0, 'compound': -0.4939}",0.0878364865405,0.113475460982
41,41,41,41,The Guardian's Sabrina Siddiqui on being a Muslim reporter in Donald Trump's America – video http://NewsUnitedStates.co.vu/1eg pic.twitter.com/EbbBCkiXFy,2017-03-03 19:51:06,0,0,837873006751821824,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0878364865405,0.113475460982
42,42,42,42,Donald Trump Wasn't the Only Boob in Congress! https://malialitman.com/2017/03/02/donald-trump-wasnt-the-only-boob-in-congress/ … via @malialitman,2017-03-03 19:17:44,0,0,837864609017135105,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0878364865405,0.113475460982
43,43,43,43,"Anti-Semitism Arrived In My Son’s School: This Is On You, Donald Trump http://hollywoodlife.com/2017/03/03/anti-semitism-schools-america-donald-trump-fault-cemeteries/ … via @HollywoodLife",2017-03-03 19:09:31,0,0,837862542110240770,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0878364865405,0.113475460982
44,44,44,44,@williamlegate @Sargon_of_Akkad @realDonaldTrump Donald Trump is taking out the trash that has been piling up for years.,2017-03-03 17:31:11,14,1,837837798031953922,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0878364865405,0.113475460982
45,45,45,45,not my president Ring anti trump donald trump by danslairdutemps http://etsy.me/2mnYRFO  via @Etsy  How sick can you get???,2017-03-03 17:30:03,0,0,837837511703547904,"{'neg': 0.277, 'neu': 0.723, 'pos': 0.0, 'compound': -0.7303}",0.0878364865405,0.113475460982
46,46,46,46,@realDonaldTrump MERICA! God bless Donald Trump!,2017-03-03 17:29:18,0,0,837837323429609473,"{'neg': 0.0, 'neu': 0.422, 'pos': 0.578, 'compound': 0.6688}",0.0878364865405,0.113475460982
47,47,47,47,@realDonaldTrump JESUS SAYS... There is a Traitor among Donald Trump's staff. https://www.youtube.com/watch?v=usPQJcbaNvA …,2017-03-03 17:18:25,0,0,837834584582684672,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0878364865405,0.113475460982
48,48,48,48,Jesse Ventura Warns Donald Trump: Don't Tread On State Pot Laws http://NewsUnitedStates.co.vu/1dp pic.twitter.com/r24NExurqq,2017-03-03 16:48:24,0,0,837827030456508416,"{'neg': 0.113, 'neu': 0.887, 'pos': 0.0, 'compound': -0.1027}",0.0878364865405,0.113475460982
49,49,49,49,@oreillyfactor @jessebwatters we need an investigation i think donald trump wore blue socks today which would be ok but so did putin,2017-03-03 16:30:36,10,1,837822549476134912,"{'neg': 0.0, 'neu': 0.926, 'pos': 0.074, 'compound': 0.1531}",0.0878364865405,0.113475460982
