,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Text,Date,Favorites,Retweets,Tweet ID,sentiment,pos_pct,neg_pct
0,0,0,0,I liked a @YouTube video http://youtu.be/R6XwFp_FACA?a  Bernie Sanders DESTROYS Donald Trump's Speech To Congress,2017-03-07 14:15:07,0,0,839238005353246720,"{'neg': 0.253, 'neu': 0.584, 'pos': 0.163, 'compound': -0.368}",0.0836626827294,0.0942812247036
1,1,1,1,Donald Trump surprised kids on a tour of the White House. The biggest surprise is when those kids find out their parents have been deported.,2017-03-07 13:53:32,0,0,839232572756369408,"{'neg': 0.0, 'neu': 0.846, 'pos': 0.154, 'compound': 0.4588}",0.0836626827294,0.0942812247036
2,2,2,2,Congress Can Remove Donald Trump From Office Without Impeaching Him - TIME https://apple.news/AnnJHVXHgSki-OVHFJiX61A …,2017-03-07 12:04:23,1,0,839205107375943680,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0836626827294,0.0942812247036
3,3,3,3,Donald Trump's grandfather begged a German prince not to be deported https://www.indy100.com/article/trump-grandfather-deportation-letter-travel-ban-executive-order-7614656 …,2017-03-07 10:50:45,0,0,839186574873145344,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0836626827294,0.0942812247036
4,4,4,4,"#MuslimBan2 
Congress Can Remove Donald Trump From Office Without Impeaching Him - TIME https://apple.news/AnnJHVXHgSki-OVHFJiX61A …",2017-03-07 10:48:10,0,0,839185923631955968,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0836626827294,0.0942812247036
5,5,5,5,Do you support President Donald Trump or the media? https://thehornnews.com/nyt-caught-spreading-huge-trump-lie/ …,2017-03-07 10:29:38,0,0,839181260736114690,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.4019}",0.0836626827294,0.0942812247036
6,6,6,6,Measuring Donald Trump’s Supporters for Intolerance - The New York Times https://www.nytimes.com/2016/02/25/upshot/measuring-donald-trumps-supporters-for-intolerance.html?_r=0 …,2017-03-07 09:35:35,0,0,839167660680167424,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4404}",0.0836626827294,0.0942812247036
7,7,7,7,—The Remembrance Project Is Moving to D.C. to Support Donald Trump's VOICE Program - Breitbart http://www.breitbart.com/big-government/2017/03/07/remembrance-project-to-move-its-headquarters-to-washington-d-c-to-support-voice-program/ … via @BreitbartNews,2017-03-07 06:59:01,1,0,839128256867532800,"{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.4019}",0.0836626827294,0.0942812247036
8,8,8,8,Donald Trump's new portrait.  Note: there is no follow-up where he transitions to being generous. @realDonaldTrump #Trumpcarepic.twitter.com/ZlObl90BGx,2017-03-07 06:57:48,3,0,839127951014825984,"{'neg': 0.107, 'neu': 0.732, 'pos': 0.161, 'compound': 0.2732}",0.0836626827294,0.0942812247036
9,9,9,9,@NancyPelosi @realDonaldTrump seems like Nancy Pelosi  tweets as much is Donald Trump pot call the kettle black she's wasting my tax money,2017-03-07 05:59:08,0,0,839113188968923136,"{'neg': 0.107, 'neu': 0.794, 'pos': 0.099, 'compound': -0.0516}",0.0836626827294,0.0942812247036
